epoch,e_loss,g_loss,s_acc,s_loss,u_acc,u_loss,val_e_loss,val_g_loss,val_s_acc,val_s_loss,val_u_acc,val_u_loss
0,0.3763723075389862,84.4732437133789,0.3609375059604645,1.1937320232391357,0.801562488079071,0.25015851855278015,348.26568603515625,232.33522033691406,0.3583333194255829,1.2164883613586426,1.0,-0.1117936223745346
0,0.38205578923225403,50.47239685058594,0.3333333432674408,1.2208747863769531,0.8263021111488342,0.2739764451980591,47.06340408325195,68.5482406616211,0.3375000059604645,1.5858018398284912,0.9927083253860474,0.10316535830497742
0,0.396074116230011,17.305164337158203,0.3473958373069763,1.2793978452682495,0.6893228888511658,0.45878535509109497,8.62486457824707,21.649648666381836,0.3499999940395355,1.1892999410629272,0.9072916507720947,0.3051031529903412
1,0.3583202064037323,31.18716812133789,0.40312498807907104,1.1534481048583984,0.8192708492279053,0.3477131426334381,59.583290100097656,71.7522964477539,0.40625,1.1241577863693237,1.0,0.02014375664293766
2,0.3456138074398041,53.408077239990234,0.5130208134651184,1.0392009019851685,0.946093738079071,0.13922451436519623,69.63882446289062,71.03008270263672,0.4479166567325592,1.0623900890350342,0.9958333373069763,0.03427721560001373
3,0.3355732858181,76.1069564819336,0.5838541388511658,0.9067142009735107,0.9919270873069763,0.04627453535795212,70.10704803466797,77.26103210449219,0.46875,1.076027274131775,0.9781249761581421,0.06885609775781631
4,0.3282023072242737,54.6361083984375,0.6052083373069763,0.9060404896736145,0.8463541865348816,0.3571837246417999,22.04186248779297,5.515537738800049,0.4333333373069763,1.9047857522964478,0.746874988079071,0.537189245223999
5,0.32178419828414917,67.87154388427734,0.6494791507720947,0.7893360257148743,0.9557291865348816,0.0984230488538742,73.84008026123047,65.85813903808594,0.49791666865348816,1.0393317937850952,0.9760416746139526,0.05570258945226669
6,0.31942370533943176,105.10818481445312,0.6598958373069763,0.8521392941474915,0.9080728888511658,0.19659970700740814,261.1436767578125,173.20648193359375,0.5083333253860474,1.0086917877197266,0.9947916865348816,-0.07318317145109177
7,0.31504833698272705,101.16372680664062,0.7109375,0.6873111128807068,0.9723958373069763,0.03261888027191162,92.39356231689453,83.96382904052734,0.5166666507720947,1.1073511838912964,0.96875,0.04729369655251503
8,0.31076622009277344,72.32341766357422,0.7130208611488342,0.6542896032333374,0.9398437738418579,0.1089102178812027,96.08662414550781,86.35231018066406,0.5270833373069763,1.0720672607421875,0.984375,0.03722576051950455
9,0.3081931471824646,77.14893341064453,0.7317708134651184,0.6202694773674011,0.9747396111488342,0.060824308544397354,85.29554748535156,74.21835327148438,0.5520833134651184,1.210289716720581,0.9729166626930237,0.06331381946802139
10,0.3099498450756073,67.43354797363281,0.7057291865348816,0.7335035800933838,0.8765624761581421,0.37092074751853943,85.36196899414062,74.9819107055664,0.5479166507720947,1.1027119159698486,0.984375,0.05474129691720009
11,0.3115178942680359,48.59585189819336,0.7421875,0.6127808690071106,0.8802083134651184,0.26617231965065,68.4319076538086,38.33871841430664,0.5458333492279053,1.1219308376312256,0.9395833611488342,0.18917202949523926
12,0.3140748143196106,49.25798416137695,0.7630208134651184,0.5793257355690002,0.8890625238418579,0.24147602915763855,23.66257667541504,-3.8253867626190186,0.5458333492279053,1.116520643234253,0.6770833134651184,0.744247555732727
13,0.3173994719982147,50.38121795654297,0.7510416507720947,0.6017804741859436,0.9020833373069763,0.26355239748954773,73.1570053100586,70.47574615478516,0.49791666865348816,1.141652226448059,0.918749988079071,0.1436917632818222
14,0.31589049100875854,57.24260711669922,0.7927083373069763,0.5073657035827637,0.946093738079071,0.11411378532648087,78.99154663085938,61.10076904296875,0.5479166507720947,1.0881171226501465,0.9614583253860474,0.11311200261116028
15,0.31763923168182373,64.43356323242188,0.7885416746139526,0.5056670308113098,0.9453125,0.10809746384620667,80.8007583618164,69.04173278808594,0.53125,1.1592801809310913,0.9520833492279053,0.08903268724679947
16,0.3175514042377472,45.69414138793945,0.7984374761581421,0.49460506439208984,0.8882812261581421,0.30464646220207214,79.30368041992188,65.01604461669922,0.5479166507720947,1.0946638584136963,0.9510416388511658,0.10631988197565079
17,0.3220747113227844,43.795047760009766,0.7848958373069763,0.5067765116691589,0.8807291388511658,0.27420952916145325,83.74267578125,35.86301040649414,0.5041666626930237,1.2873455286026,0.90625,0.21736328303813934
18,0.31977418065071106,41.66428756713867,0.801562488079071,0.5037230849266052,0.883593738079071,0.27314329147338867,94.02005004882812,72.94510650634766,0.4937500059604645,1.3996245861053467,0.9375,0.10661909729242325
19,0.3198198974132538,46.5533447265625,0.7833333611488342,0.5166047811508179,0.893750011920929,0.22407269477844238,60.00402069091797,34.579769134521484,0.5625,1.1307225227355957,0.9270833134651184,0.17739726603031158
20,0.32520005106925964,40.86966323852539,0.7973958253860474,0.5061654448509216,0.8666666746139526,0.31531184911727905,40.4186897277832,19.84823226928711,0.4749999940395355,1.6141631603240967,0.7520833611488342,0.5315120816230774
21,0.3269771933555603,48.32342529296875,0.8026041388511658,0.4942530393600464,0.9080728888511658,0.2015448361635208,65.44231414794922,56.901432037353516,0.5708333253860474,1.103043794631958,0.887499988079071,0.22571580111980438
22,0.32709863781929016,40.06128692626953,0.824999988079071,0.44384029507637024,0.9057291746139526,0.22346755862236023,43.88185501098633,40.93986892700195,0.5520833134651184,1.1007654666900635,0.9270833134651184,0.189168781042099
23,0.3440096974372864,62.75067901611328,0.7869791388511658,0.5041096210479736,0.8747395873069763,0.274038165807724,203.2152557373047,69.716552734375,0.5479166507720947,1.1955151557922363,0.9677083492279053,0.06840959936380386
